Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,C_0805_2012Metric,113.9698,-61.214,90,top
C2,10uf,C_0805_2012Metric,117.2718,-61.214,90,top
C3,0.1uf,C_0805_2012Metric,120.523,-61.214,90,top
C4,0.1uf,C_0805_2012Metric,130.2512,-60.071,90,top
C5,22uf,C_1206_3216Metric,127.889,-44.188399,-90,top
C6,22uf,C_1206_3216Metric,124.206,-44.1884,-90,top
C7,10uf,C_0805_2012Metric,120.396,-44.069,90,top
C8,10uf,C_0805_2012Metric,131.699,-44.069,90,top
L1,3.3uh,L_5.5x5.5,125.5268,-54.356,90,top
R1,10K,R_0603_1608Metric,130.2512,-55.88,90,top
R2,68.1K,R_0603_1608Metric,112.0902,-56.248,90,top
R3,10K,R_0603_1608Metric,118.491,-56.248,90,top
R4,40.2K,R_0603_1608Metric,115.189,-56.248,90,top
RV1,100K,tinySMDpot,113.915,-50.165,0,top
U1,TPS563200,SOT-23-6,125.5268,-61.4172,90,top
